3.792654500000000040e-01 5.833900000000000197e-02 -8.167691000000000534e-02
4.402576695796568407e-01 1.002254737142227320e-01 -5.832948725039234505e-02
5.131120765024282937e-01 1.372437550242803228e-01 -2.644107017845322843e-02
5.989559579451246840e-01 1.688880214217338693e-01 1.227470730015492451e-02
6.987758230721859976e-01 1.954994976838976273e-01 5.626882076003655864e-02
8.128435860315631478e-01 2.186666117069356874e-01 1.042200476372221463e-01
9.378052777799852358e-01 2.435427729960273624e-01 1.556111539231958552e-01
1.061465639776772996e+00 2.825023766158186733e-01 2.120657977334626243e-01
1.170773742794227523e+00 3.449417144044684691e-01 2.782818249372083774e-01
1.269777886504568132e+00 4.209776426654311954e-01 3.585770136227401927e-01
1.363955997113462049e+00 5.000438497854873265e-01 4.540331453361426406e-01
1.454948728402230218e+00 5.758498744170048589e-01 5.640249659398247628e-01
1.539766284042117350e+00 6.469434852975634032e-01 6.869265596649296590e-01
1.615209304502569054e+00 7.120513123741735173e-01 8.206552307850120132e-01
1.681006286597009680e+00 7.669794840525023805e-01 9.628098153833724027e-01
1.733111450262044606e+00 8.116914145335274444e-01 1.110384507429228895e+00
1.771005910546529449e+00 8.428750133328584138e-01 1.260169736627174242e+00
1.794442072239787134e+00 8.574387870783130028e-01 1.408663788246495852e+00
1.800164977707997771e+00 8.560206050017721280e-01 1.552017602143585639e+00
1.785637639146675282e+00 8.392047522591006281e-01 1.686334749398382682e+00
1.752854959618173725e+00 8.037652407772206686e-01 1.807815042173255948e+00
1.701306796539046706e+00 7.499536618214773798e-01 1.912645273959920234e+00
1.631100741849199176e+00 6.783177399718460787e-01 1.997248273476078362e+00
1.542668616573166229e+00 5.900647890670059903e-01 2.058345206111239722e+00
1.437070127534874064e+00 4.867536534457398423e-01 2.093081371615276964e+00
1.316684018582816584e+00 3.695744552503169578e-01 2.099142877774288873e+00
1.183683663327807833e+00 2.408474546484470347e-01 2.074822161115158270e+00
1.040497185361933585e+00 1.034846709300716316e-01 2.019102015941556694e+00
8.901180618169622916e-01 -3.944020486728705421e-02 1.931742149241956641e+00
